Tipe ,Nama Group,Agensi,Album (Judul + Tahun),Lagu (Judul + Tahun),Genre,Tahun Debut,Fandom
,,,,,,,
Group,Super Junior,SM Ent,"(Sorry, Sorry; 2009)","(Sorry, Sorry; 2009)",R&B,2005,Elf
Group,Seventeen,Pledis Ent,(FML; 2023,(Super; 2023),EDM,2015,Carat
Group,Red Velvet,SM Ent,(The Red; 2015),(Red Flavor; 2017),Pop / R&B,2014,ReVeluv
Group,Momoland,MLD Ent,(Great;2018),(BBoom BBoom; 2018),Dance-pop,2016,Merry
Group,iKon,YG Ent,"(return, 2018)",(Love Scenario; 2018),Hip-Hop Ballad,2015,iKONIC
Group,ITZY,JYP Ent,(Crazy in Love; 2021),(DALLA DALLA; 2019),Dance-pop,2019,MIDZY
Group,EXO,SM Ent,(Don’t Mess Up My Tempo; 2018),(Love Shot; 2018),R&B,2012,EXO-L
Group,Stray Kids,JYP Ent,(Go Live; 2020),(God's Menu; 2020),Hip Hop,2018,Stay
Group,LE SSERAFIM,Source Music,(Antifragile; 2022),(Fearless; 2022),Pop / Dance,2022,FEARNOT
Group,DAY-6,JYP Ent,(The Day; 2015),(Congratulations; 2015),Pop- Rock,2015,My Day
Group,Treasure,YG Ent,(The Second Step: Chapter One; 2022),(DARARI; 2022),R&B,2020,Teume
Group,aespa,SM Ent,(Girls; 2022),(Next Level; 2021),Electro-pop,2020,MY
Group ,SNSD,SM Ent,(Gee; 2009),(Gee; 2009),Dance-pop,2007,SONE
Group ,Tomorrow X Together,BigHit Music,The Chaos Chapter: FREEZE; 2021,(Anti-Romantic; 2021),Pop / Ballad,2019,MOA
Group,IVE,Starship Ent,(I’ve IVE; 2023),(ELEVEN; 2021),Pop / Dance,2021,DIVE
Group,Twice,JYP Ent,(Twicecoaster: Lane 1; 2016),(TT; 2016),Dance-pop,2015,ONCE
Group,ATEEZ,KQ Ent,(Zero: Fever Part 3; 2021),(Deja Vu; 2021),Dance-pop,2018,ATINY
Group,MAMAMOO,RBW,(Reality in BLACK; 2019),(HIP; 2019),R&B / Pop,2014,MooMoo
Group,BIGBANG,YG Ent,(Made; 2016),(Bang Bang Bang; 2016),EDM / Hip-hop,2006,V.I.P
Group,NewJeans,ADOR Ent,(Get UP(EP); 2023),(Super Shy:2023),Pop / Jersey Club,2022,Bunnies
Group,GOT7,JYP Ent (ex),(Eyes On You; 2018),(Just Right; 2015),Hip Hop / Pop,2014,Ahgase
Soloist,IU,Kakao Ent,(Lilac; 2021) ,(Celebrity; 2021),Dance-pop,2008,Uaena
Soloist,Gummy,C-JeS Ent,(Descendants of the Sun OST Part.4; 2016),(You Are My Everything;2016),Ballad,2003,Gummies
Soloist,Taeyeon (SNSD),SM Ent,(My Voice; 2017),(I; 2015),Pop / Ballad,2015,-
Soloist,Jessi,Doremi Ent,(NUNU NANA; 2020),(NUNU NANA; 2020),Hip Hop,2005,Jebbies
Soloist,Lee Hi,AOMG Ent,(Album 4 ONLY; 2021),(ONLY; 2021),R&B / Ballad,2012,-
Soloist,Sunmi,Abyss Company,(Warning; 2018),(Gashina; 2017),Pop / Dance,2013,Miya-ne
Soloist,Ailee,YMC Ent,(Invitation; 2012),(Heaven; 2012),R&B / Ballad,2012,Aileeans
Soloist,BIBI,Feel Ghood Music,(Lowlife Princess: Noir; 2022),(Vengeance; 2022),R&B / Hip-Hop,2019,BIBI Bullets
Soloist,Chungha,MNH Ent,(Querencia; 2021),(Gotta Go; 2019),Pop / Dance,2019,Byulharang
